99,1898,1301,1536,395,1359,10519,5606,6943,1955,9025
100,6817,4882,5010,4002,7255,7244,11783,6518,2013,4203
101,6002,7295,295,491,9081,4108,6095,462,11925,11321
102,586,10751,7727,8720,3813,6750,7593,6044,10398,7353
103,7631,8729,2143,752,2882,6311,11734,2838,1607,8723
104,314,7253,5067,7115,558,10129,11315,4360,4005,3942
105,5701,2236,10140,761,4347,10247,6703,7657,7815,1711
106,9437,4331,7591,7279,121,782,2847,10920,8603,4992
107,12120,6992,8400,56,5524,11359,6101,3908,42,9805
108,1589,7754,1079,4816,9718,5113,90,761,11783,10375
109,11019,2304,11696,4023,2325,10263,4100,6067,385,2229
110,7754,10350,11747,1549,11951,6243,981,2140,8145,10484
111,6,9467,6034,4075,9140,8302,5139,10266,10121,11448
112,7445,11762,6245,12111,8226,12088,4374,8960,4046,11505
113,5830,6659,9565,12033,551,5921,3417,8757,8881,7908
114,10167,3859,9835,8960,10370,4397,10592,6698,10213,7379
115,9784,4186,3053,5084,11783,10967,11443,8764,9540,5942
116,7096,2170,5390,7455,6062,5413,10731,12045,10172,3533
117,4725,7464,9827,8698,1762,11832,8167,4087,9248,528
118,7264,10437,7580,9175,5611,1859,5503,6066,11730,10958
119,6148,7768,4570,432,7887,236,8124,8762,1633,6899
120,7056,5948,3205,6186,3059,7138,1199,4980,5611,4921
121,10165,4396,395,12083,3210,9231,3371,5452,7590,6179
122,5872,8726,3672,4491,527,1493,432,430,1548,9230
123,1727,1987,1025,8697,11734,3059,9835,1693,9886,1039
124,4917,10513,6213,9454,7007,6242,177,10476,561,5277
125,5549,9783,212,4023,1025,6940,10126,5659,7746,4512
126,10167,9704,1102,3081,9165,6672,11832,7108,8690,7746
127,1168,1602,4976,5921,2199,7255,9839,8034,4578,9717
128,4685,12120,979,4404,8924,7264,9937,337,1431,7733
129,7813,9686,3205,6719,6659,10260,7857,455,5397,1320
130,4521,1246,5830,8173,121,577,9760,9823,10129,7140
131,7272,7825,10794,7268,9704,11762,7580,2677,10800,8593
132,5630,7356,7754,1987,2366,9937,78,541,5390,2117
133,7113,2680,1363,10158,8109,10160,11945,121,8537,4361
